Type,CAN_ID,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8
0,05040601,A6,35,00,00,00,00,00,94
0,05040601,A6,35,00,00,00,00,00,95
0,05040601,A6,35,00,00,00,00,00,96
0,05040601,A6,35,00,00,00,00,00,97
0,05040601,A6,35,00,00,00,00,00,98
0,05040601,A6,35,00,00,00,00,00,99
0,05040601,A6,35,00,00,00,00,00,9A
0,05040601,A6,35,00,00,00,00,00,9B
0,05040601,A6,35,00,00,00,00,00,9C
0,05040601,A6,35,00,00,00,00,00,9D
0,10015501,C8,06,00,00,00,00,00,C8
0,01000401,FE,44,70,67,00,00,00,C7
0,05040601,A6,35,00,00,00,00,00,9E
0,05040601,A6,35,00,00,00,00,00,9F
0,05040601,A6,35,00,00,00,00,00,80
0,05040601,A6,35,00,00,00,00,00,81
0,05040601,A6,35,00,00,00,00,00,82
0,05040601,A6,35,00,00,00,00,00,83
0,05040601,A6,35,00,00,00,00,00,84
0,05040601,A6,35,00,00,00,00,00,85
0,05040601,A6,35,00,00,00,00,00,86
0,05040601,A6,35,00,00,00,00,00,87
0,05040601,A6,35,00,00,00,00,00,88
0,05040601,A6,35,00,00,00,00,00,89
0,05040601,A6,35,00,00,00,00,00,8A
0,05040601,A6,35,00,00,00,00,00,8B
0,05040601,A6,35,00,00,00,00,00,8C
0,05040601,A6,35,00,00,00,00,00,8D
0,05040601,A6,35,00,00,00,00,00,8E
0,05040601,A6,35,00,00,00,00,00,8F
0,05040601,A6,35,00,00,00,00,00,90
0,05040601,A6,35,00,00,00,00,00,91
0,05040601,A6,35,00,00,00,00,00,92
0,05040601,A6,35,00,00,00,00,00,93
0,05040601,A6,35,00,00,00,00,00,94
0,05040601,A6,35,00,00,00,00,00,95
0,05040601,A6,35,00,00,00,00,00,96
0,05040601,A6,35,00,00,00,00,00,97
0,05040601,A6,35,00,00,00,00,00,98
0,05040601,A6,35,00,00,00,00,00,99
0,05040601,A6,35,00,00,00,00,00,9A
0,05040601,A6,35,00,00,00,00,00,9B
0,05040601,A6,35,00,00,00,00,00,9C
0,05040601,A6,35,00,00,00,00,00,9D
0,05040601,A6,35,00,00,00,00,00,9E
0,05040601,A6,35,00,00,00,00,00,9F
0,05040601,A6,35,00,00,00,00,00,80
0,05040601,A6,35,00,00,00,00,00,81
0,05040601,A6,35,00,00,00,00,00,82
0,05040601,A6,35,00,00,00,00,00,83
0,05040601,A6,35,00,00,00,00,00,84
0,05040601,A6,35,00,00,00,00,00,85
0,05040601,A6,35,00,00,00,00,00,86
0,05040601,A6,35,00,00,00,00,00,87
0,05040601,A6,35,00,00,00,00,00,88
0,05040601,A6,35,00,00,00,00,00,89
0,05040601,A6,35,00,00,00,00,00,8A
0,05040601,A6,35,00,00,00,00,00,8B
0,05040601,A6,35,00,00,00,00,00,8C
0,05040601,A6,35,00,00,00,00,00,8D
0,05040601,A6,35,00,00,00,00,00,8E
0,05040601,A6,35,00,00,00,00,00,8F
0,05040601,A6,35,00,00,00,00,00,90
0,05040601,A6,35,00,00,00,00,00,91
0,05040601,A6,35,00,00,00,00,00,92
0,05040601,A6,35,00,00,00,00,00,93
0,05040601,A6,35,00,00,00,00,00,94
0,05040601,A6,35,00,00,00,00,00,95
0,05040601,A6,35,00,00,00,00,00,96
0,05040601,A6,35,00,00,00,00,00,97
0,05040601,A6,35,00,00,00,00,00,98
0,05040601,A6,35,00,00,00,00,00,99
