attack_mode,attack,level,dt_level,mal_nodes,method,seed,tau_gate,lambda_m,ref_size,audit_size,skipped,skip_reason,polluted_acc,polluted_f1,clean_acc,clean_f1,delta_f1,w_mal,w_mal_round_mean,S_DT,S_DT_ratio,valid_ratio,fallback_rate,fallback_flag_first,fallback_flag_final,fallback_method,skip_semantic,num_masked,num_valid,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,rep_config,mimic_loss,poison_loss,final_kl_to_teacher,exp_group
label_flip,label_flip,L1,D0,5,weighted,0,0.7,0.0,128,0,False,,0.6236308813095093,0.5734329104753297,0.805524468421936,0.7602672211010175,0.18683431062568778,0.07993822187903964,0.13253884895364712,74.78336334228516,0.5842450261116028,0.5859375,0.0,0.0,0.0,none,0,53.0,75.0,0.0,0.0,0.8674611510463528,False,weighted,"R2,R4",nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted,1,0.7,0.0,128,0,False,,0.5965975522994995,0.5336954423416266,0.7595185041427612,0.6949871939961859,0.16129175165455933,0.24657255502073028,0.2202341596085923,91.8355484008789,0.7174652218818665,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.7797658403914077,False,weighted,"R2,R4",nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted,2,0.7,0.0,128,0,False,,0.6073176264762878,0.5591785175386332,0.7895669937133789,0.7409840045593056,0.18180548702067234,0.15459102017071394,0.1561158596833893,76.78043365478516,0.599847137928009,0.6015625,0.0,0.0,0.0,none,0,51.0,77.0,0.05333333333333334,0.0,0.8438841403166106,False,weighted,"R2,R4",nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted,3,0.7,0.0,128,0,False,,0.6061524152755737,0.5571791568715918,0.7878872752189636,0.7370715087090929,0.17989235183750107,0.07701911458025008,0.10861585863935273,86.77936553955078,0.6779637932777405,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.0,0.0,0.8913841413606473,False,weighted,"R2,R4",nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted,4,0.7,0.0,128,0,False,,0.6185038685798645,0.5607449436557038,0.8017917275428772,0.7511007180645255,0.19035577440882168,0.09269174584453688,0.17118216902053388,82.8746337890625,0.6474580764770508,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.0,0.0,0.828817830979466,False,weighted,"R2,R4",nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted_r4only,0,0.7,0.0,128,0,False,,0.5975297093391418,0.5120481146287011,0.7544792890548706,0.6703717050650395,0.15832359043633837,0.19655245242170022,0.2318357220621092,74.78336334228516,0.5842450261116028,0.5859375,0.0,0.0,0.0,none,0,53.0,75.0,0.0,0.0,0.7681642779378908,False,weighted,R4,nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted_r4only,1,0.7,0.0,128,0,False,,0.4369610846042633,0.30513474964320353,0.34761103987693787,0.2579461256143772,-0.04718862402882634,0.2451784980053424,0.24119933952753683,91.8355484008789,0.7174652218818665,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.7588006604724631,False,weighted,R4,nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted_r4only,2,0.7,0.0,128,0,False,,0.5975297093391418,0.5380263337609716,0.7741694450378418,0.7137254313202634,0.1756990975592918,0.23612494783491667,0.23841294813709643,76.78043365478516,0.599847137928009,0.6015625,0.0,0.0,0.0,none,0,51.0,77.0,0.0,0.0,0.7615870518629035,False,weighted,R4,nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted_r4only,3,0.7,0.0,128,0,False,,0.5732929110527039,0.44517255583091586,0.697741687297821,0.5425942780667545,0.09742172223583867,0.20956808047627626,0.2142206115330624,86.77936553955078,0.6779637932777405,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.0,0.0,0.7857793884669377,False,weighted,R4,nan,nan,nan,base
label_flip,label_flip,L1,D0,5,weighted_r4only,4,0.7,0.0,128,0,False,,0.4793754518032074,0.45212401879337416,0.445035457611084,0.4340796331036253,-0.018044385689748865,0.2522354281059145,0.2733359322282963,82.8746337890625,0.6474580764770508,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.0,0.0,0.7266640677717039,False,weighted,R4,nan,nan,nan,base
