attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,fallback_rate_m,fallback_rate_s,benign_pass_rate_m,benign_pass_rate_s,malicious_pass_rate_m,malicious_pass_rate_s,benign_admitted_weight_mass_m,benign_admitted_weight_mass_s,count
dt_logit_scale,dt_logit_scale,,D0,0,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,weighted,0.7,0.0,512,0,0.0,0.0,0.13733333333333336,0.07406903686576613,nan,nan,1.0,0.0,5
dt_logit_scale,dt_logit_scale,,D0,3,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,weighted,0.7,0.0,512,0,0.0,0.0,0.22857142857142856,0.06920343666508551,0.008888888888888887,0.010886621079036346,0.8791794056386607,0.041060481926110295,5
dt_logit_scale,dt_logit_scale,,D0,5,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.7,0.0,512,0,0.0,0.0,0.21066666666666664,0.10545983964418766,0.0,0.0,0.7994649596134711,0.034039240628026816,5
label_flip,label_flip,L1,D0,0,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,weighted,0.7,0.0,512,0,0.0,0.0,0.13733333333333336,0.07406903686576613,nan,nan,1.0,0.0,5
label_flip,label_flip,L1,D0,3,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,weighted,0.7,0.0,512,0,0.0,0.0,0.08571428571428572,0.07523206726907239,0.0,0.0,0.92878945828102,0.008089029030927909,5
label_flip,label_flip,L1,D0,5,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,weighted,0.7,0.0,512,0,0.0,0.0,0.026666666666666665,0.032659863237109045,0.0,0.0,0.8452389880225468,0.05024244710700024,5
stealth_amp,stealth_amp,,D0,0,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,0,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,0,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,0,weighted,0.7,0.0,512,0,0.0,0.0,0.13733333333333336,0.07406903686576613,nan,nan,1.0,0.0,5
stealth_amp,stealth_amp,,D0,3,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,3,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,3,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,3,weighted,0.7,0.0,512,0,0.0,0.0,0.15238095238095237,0.06761234037828132,0.0,0.0,0.9803162944053501,0.00666304433982471,5
stealth_amp,stealth_amp,,D0,5,mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,5,median,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,5,trimmed_mean,0.7,0.0,512,0,0.0,0.0,nan,nan,nan,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,5,weighted,0.7,0.0,512,0,0.0,0.0,0.15999999999999998,0.057811955703143465,0.0,0.0,0.9676035956907825,0.007089483376145256,5
