attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,benign_pass_rate_m,benign_pass_rate_s,malicious_pass_rate_m,malicious_pass_rate_s,count
dt_logit_scale,dt_logit_scale,,D0,0,mean,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,median,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,trimmed_mean,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,weighted,0.7,0.0,128,0,0.14666666666666667,0.08208396784864738,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,weighted_r2only,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,0,weighted_r4only,0.7,0.0,128,0,0.14533333333333331,0.08048740412152837,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,mean,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,median,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,trimmed_mean,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,weighted,0.7,0.0,128,0,0.21142857142857144,0.1008624936752284,0.07555555555555556,0.09898247756142262,5
dt_logit_scale,dt_logit_scale,,D0,3,weighted_r2only,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,3,weighted_r4only,0.7,0.0,128,0,0.12190476190476192,0.08881175791904584,0.04,0.08,5
dt_logit_scale,dt_logit_scale,,D0,5,mean,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,median,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,trimmed_mean,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.7,0.0,128,0,0.184,0.12772192015816583,0.031999999999999994,0.057565421719794396,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted_r2only,0.7,0.0,128,0,nan,nan,nan,nan,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted_r4only,0.7,0.0,128,0,0.029333333333333333,0.058666666666666666,0.0,0.0,5
label_flip,label_flip,L1,D0,0,mean,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,median,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,trimmed_mean,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,weighted,0.7,0.0,128,0,0.14666666666666667,0.08208396784864738,nan,nan,5
label_flip,label_flip,L1,D0,0,weighted_r2only,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,weighted_r4only,0.7,0.0,128,0,0.14533333333333331,0.08048740412152837,nan,nan,5
label_flip,label_flip,L1,D0,3,mean,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,median,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,trimmed_mean,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,weighted,0.7,0.0,128,0,0.03428571428571428,0.05920102959207638,0.0,0.0,5
label_flip,label_flip,L1,D0,3,weighted_r2only,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,weighted_r4only,0.7,0.0,128,0,0.003809523809523809,0.007619047619047617,0.0,0.0,5
label_flip,label_flip,L1,D0,5,mean,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,median,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,trimmed_mean,0.7,0.0,128,0,nan,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,weighted,0.7,0.0,128,0,0.010666666666666668,0.021333333333333336,0.0,0.0,5
