attack,mal_nodes,metric,n_pairs,mean_weighted,mean_median,mean_diff,wilcoxon_stat,p_value,cohens_dz,decision_note
label_flip,5,clean_f1,5,0.7368821292860254,0.36709177572450014,0.36979035356152534,0.0,0.0625,3.4937056296843543,ok
label_flip,5,polluted_f1,5,0.5568461941765771,0.3660727464109649,0.19077344776561214,0.0,0.0625,2.381917096523166,ok
label_flip,5,delta_f1,5,0.18003593510944843,0.0010190293135351803,0.17901690579591328,0.0,0.0625,4.526637619935411,ok
stealth_amp,5,clean_f1,5,0.7637394221075601,0.7132368471897708,0.05050257491778933,1.0,0.125,1.0758059680859586,ok
stealth_amp,5,polluted_f1,5,0.7691132464741921,0.7168458891445258,0.052267357329666274,1.0,0.125,1.2203877063295312,ok
stealth_amp,5,delta_f1,5,-0.0053738243666320296,-0.003609041954755088,-0.0017647824118769417,6.0,0.8125,-0.232756620770382,ok
dt_logit_scale,5,clean_f1,5,0.7711995244781871,0.6429753165144237,0.12822420796376333,0.0,0.0625,1.8734763294735852,ok
dt_logit_scale,5,polluted_f1,5,0.7763841914193913,0.639549867133815,0.13683432428557615,0.0,0.0625,2.056994210131746,ok
dt_logit_scale,5,delta_f1,5,-0.005184666941204119,0.003425449380608714,-0.008610116321812833,0.0,0.0625,-1.2400244155515783,ok
label_flip,3,clean_f1,5,0.7561745343115949,0.7621158338730398,-0.005941299561445024,1.0,0.125,-0.6931413183031127,ok
label_flip,3,polluted_f1,5,0.6308361890276319,0.6370496612333179,-0.00621347220568611,2.0,0.1875,-0.6798722827447213,ok
label_flip,3,delta_f1,5,0.125338345283963,0.12506617263972192,0.0002721726442410866,7.0,1.0,0.07369525923888413,ok
