wlan_fc_type,wlan_duration,ip_hdr_len,ip_dst,frame_len,ip_proto,frame_protocols,wlan_seq,data_len,time_since_last_packet,ip_src,ip_ttl,ip_id,wlan_ra,llc_type,udp_dstport,normalized_temperature_change,normalized_battery_change,normalized_distance_change,class
2,44,20,2,232,17,3,161,170,3.111228,1,255,158,0,2048,8890,0.0,0.0,0.04205607476635514,DoS
2,60,0,0,26,0,0,0,0,0.029227,0,0,0,1,0,0,0.0,0.0,0.04205607476635514,DoS
2,44,20,2,230,17,3,162,168,0.072811,1,255,159,0,2048,8890,0.0,0.0,0.04205607476635514,DoS
2,60,0,0,26,0,0,0,0,0.029586,0,0,0,1,0,0,0.0,0.0,0.04205607476635514,DoS
2,44,20,4,86,6,2,143,0,0.013808,2,128,59321,1,2048,0,0.0,0.0,0.04205607476635514,DoS
2,44,20,2,230,17,3,163,168,0.058576,1,255,160,0,2048,8890,0.0,0.0,0.04205607476635514,DoS
2,60,0,0,26,0,0,0,0,0.030012,0,0,0,1,0,0,0.0,0.0,0.04205607476635514,DoS
2,44,20,2,232,17,3,164,170,0.072012,1,255,161,0,2048,8890,0.0,0.0,0.04205607476635514,DoS
2,60,0,0,26,0,0,0,0,0.030396,0,0,0,1,0,0,0.0,0.0,0.04205607476635514,DoS
2,44,20,2,231,17,3,165,169,0.071566,1,255,162,0,2048,8890,0.0,0.0,0.04205607476635514,DoS
2,60,0,0,26,0,0,0,0,0.03083,0,0,0,1,0,0,0.0,0.0,0.04205607476635514,DoS
2,44,20,5,86,6,2,152,0,3.095654,2,128,35896,1,2048,0,0.0,0.0,0.014018691588785047,DoS
2,44,20,2,229,17,3,203,167,0.086536,1,255,200,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,75,17,3,204,13,0.051165,1,255,201,0,2048,8899,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,75,17,3,204,13,0.000192,1,255,201,0,2048,8899,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,229,17,3,205,167,0.050444,1,255,202,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,5,86,6,2,153,0,0.013264,2,128,35897,1,2048,0,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,206,168,0.089151,1,255,203,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,60,0,0,26,0,0,0,0,0.094934,0,0,0,1,0,0,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,207,168,0.007163,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,207,168,1.2e-05,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,207,168,0.00034,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,207,168,0.00051,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,207,168,0.000686,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,2,230,17,3,207,168,0.000399,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,320,20,2,230,17,3,207,168,0.002459,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,320,20,2,230,17,3,207,168,0.002513,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,320,20,2,230,17,3,207,168,0.0024,1,255,204,0,2048,8890,0.0,0.0,0.018691588785046728,DoS
2,44,20,5,86,6,2,154,0,0.005791,2,128,35898,1,2048,0,0.0,0.0,0.018691588785046728,DoS
2,60,0,0,26,0,0,0,0,0.080119,0,0,0,1,0,0,0.0,0.0,0.018691588785046728,DoS
2,60,0,0,26,0,0,0,0,3.072064,0,0,0,1,0,0,0.0,0.0,0.08878504672897196,DoS
2,44,20,2,232,17,3,244,170,0.096389,1,255,241,0,2048,8890,0.0,0.0,0.08878504672897196,DoS
2,60,0,0,26,0,0,0,0,0.006048,0,0,0,1,0,0,0.0,0.0,0.08878504672897196,DoS
2,44,20,2,232,17,3,245,170,0.095964,1,255,242,0,2048,8890,0.0,0.0,0.014018691588785047,DoS
2,60,0,0,26,0,0,0,0,0.006318,0,0,0,1,0,0,0.0,0.0,0.014018691588785047,DoS
2,44,20,4,86,6,2,162,0,0.020646,2,128,59322,1,2048,0,0.0,0.0,0.014018691588785047,DoS
2,44,20,2,234,17,3,246,172,0.075113,1,255,243,0,2048,8890,0.0,0.0,0.014018691588785047,DoS
2,60,0,0,26,0,0,0,0,0.006616,0,0,0,1,0,0,0.0,0.0,0.014018691588785047,DoS
2,44,20,2,234,17,3,247,172,0.044095,1,255,244,0,2048,8890,0.0,0.0,0.014018691588785047,DoS
2,60,0,0,26,0,0,0,0,0.058542,0,0,0,1,0,0,0.0,0.0,0.014018691588785047,DoS
2,44,20,2,232,17,3,248,170,0.043292,1,255,245,0,2048,8890,0.0,0.0,0.014018691588785047,DoS
2,44,20,4,86,6,2,163,0,0.008229,2,128,59323,1,2048,0,0.0,0.0,0.014018691588785047,DoS
2,44,20,2,229,17,3,286,167,3.102609,1,255,282,0,2048,8890,0.0,0.0,0.0,DoS
2,44,20,2,75,17,3,287,13,0.051095,1,255,283,0,2048,8899,0.0,0.0,0.0,DoS
2,44,20,2,229,17,3,288,167,0.051143,1,255,284,0,2048,8890,0.0,0.0,0.0,DoS
2,60,0,0,26,0,0,0,0,0.02012,0,0,0,1,0,0,0.0,0.0,0.0,DoS
2,44,20,2,229,17,3,289,167,0.082127,1,255,285,0,2048,8890,0.0,0.0,0.0,DoS
2,60,0,0,26,0,0,0,0,0.020301,0,0,0,1,0,0,0.0,0.0,0.0,DoS
2,44,20,2,74,17,3,290,12,0.030219,1,255,286,0,2048,8899,0.0,0.0,0.0,DoS
2,44,20,2,74,17,3,290,12,0.000221,1,255,286,0,2048,8899,0.0,0.0,0.0,DoS
2,44,20,2,74,17,3,290,12,0.000298,1,255,286,0,2048,8899,0.0,0.0,0.0,DoS
2,44,20,2,74,17,3,290,12,0.000726,1,255,286,0,2048,8899,0.0,0.0,0.0,DoS
2,44,20,2,228,17,3,291,166,0.050122,1,255,287,0,2048,8890,0.0,0.0,0.0,DoS
2,44,20,2,228,17,3,291,166,3.4e-05,1,255,287,0,2048,8890,0.0,0.0,0.0,DoS
2,44,20,2,228,17,3,291,166,0.000397,1,255,287,0,2048,8890,0.0,0.0,0.0,DoS
2,60,0,0,26,0,0,0,0,0.020377,0,0,0,1,0,0,0.0,0.0,0.0,DoS
2,44,20,2,228,17,3,292,166,0.081272,1,255,288,0,2048,8890,0.0,0.0,0.0,DoS
2,60,0,0,26,0,0,0,0,0.021151,0,0,0,1,0,0,0.0,0.0,0.0,DoS
0,314,0,0,26,0,0,128,0,1.996858,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,129,0,0.004212,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,130,0,0.002965,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,131,0,0.001925,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,132,0,0.002902,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,133,0,0.002353,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,134,0,0.004197,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,135,0,0.001105,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,136,0,0.003356,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,137,0,0.002132,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,138,0,0.004501,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,139,0,0.0042,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,140,0,0.000573,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,141,0,0.001579,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,142,0,0.003487,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,143,0,0.001946,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,144,0,0.003349,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,145,0,0.002785,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,146,0,0.002641,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,147,0,0.002405,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,148,0,0.003104,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,149,0,0.002158,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,150,0,0.003256,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,151,0,0.002182,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,152,0,0.004374,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,153,0,0.002229,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,154,0,0.003298,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,155,0,0.00211,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,156,0,0.014706,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,157,0,0.000582,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,158,0,0.000614,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,159,0,0.000673,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,160,0,0.000612,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,161,0,0.000578,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,162,0,0.002135,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,163,0,0.002285,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,164,0,0.003355,0,0,0,0,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
0,314,0,0,26,0,0,165,0,0.002102,0,0,0,1,0,0,0.058823529411764705,0.0,0.102803738317757,DoS
