attack,level,dt_level,mal_nodes,method,seed,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal
label_flip,L1,D0,0,weighted,0,0.8112328052520752,0.7750471819002998,0.8123366832733154,0.7727403892433653,0.0
label_flip,L1,D0,0,weighted,1,0.7916569709777832,0.7452773284670187,0.792833149433136,0.744058277481058,0.0
label_flip,L1,D0,0,weighted,2,0.8000466227531433,0.7619285397243212,0.8036580681800842,0.7632747667597135,0.0
label_flip,L1,D0,0,weighted,3,0.7979491949081421,0.7557261396480038,0.8015117645263672,0.7583467445648563,0.0
label_flip,L1,D0,0,weighted,4,0.801677942276001,0.7636080046361489,0.802538275718689,0.7620572207994547,0.0
label_flip,L1,D0,0,mean,0,0.8109997510910034,0.7746187057996119,0.8123366832733154,0.7725685845537483,
label_flip,L1,D0,0,mean,1,0.7911908626556396,0.7445831975883759,0.7929264903068542,0.7440962659685435,
label_flip,L1,D0,0,mean,2,0.8000466227531433,0.7618227008894212,0.8035647869110107,0.7629195740628105,
label_flip,L1,D0,0,mean,3,0.7979491949081421,0.7557261396480038,0.8014184236526489,0.7581169232722615,
label_flip,L1,D0,0,mean,4,0.8019109964370728,0.7638331173259562,0.8020716905593872,0.7613842375702562,
label_flip,L1,D0,0,median,0,0.8082032203674316,0.7713858846246026,0.8122434020042419,0.7728200809728095,
label_flip,L1,D0,0,median,1,0.7925891280174255,0.7472740734147696,0.7954460382461548,0.7484454026218593,
label_flip,L1,D0,0,median,2,0.8035423159599304,0.7675747174267543,0.804964542388916,0.7658458090438482,
label_flip,L1,D0,0,median,3,0.7995805144309998,0.7578683946685314,0.8042179942131042,0.7613431230959891,
label_flip,L1,D0,0,median,4,0.8026100993156433,0.7653447401019113,0.801978349685669,0.7616474891892766,
label_flip,L1,D0,0,trimmed_mean,0,0.811465859413147,0.7756740033927496,0.813269853591919,0.7740408593443693,
label_flip,L1,D0,0,trimmed_mean,1,0.7907247543334961,0.7440130707972794,0.792833149433136,0.7436965533499783,
label_flip,L1,D0,0,trimmed_mean,2,0.8009787797927856,0.7637698234035417,0.8044979572296143,0.7644405055149819,
label_flip,L1,D0,0,trimmed_mean,3,0.7984153032302856,0.7562896318287455,0.8029115200042725,0.760166025757921,
label_flip,L1,D0,0,trimmed_mean,4,0.8014448881149292,0.7634882764076736,0.8021649718284607,0.7616958070561424,
label_flip,L1,D0,3,weighted,0,0.68235844373703,0.6363696106779562,0.8107503056526184,0.7698812347514781,0.06361405077700039
label_flip,L1,D0,3,weighted,1,0.7035655975341797,0.6464253287668799,0.7873273491859436,0.73386290136633,0.0433499157547314
label_flip,L1,D0,3,weighted,2,0.7058960795402527,0.6631231166215199,0.8011384606361389,0.7594965559491049,0.0025744859956114
label_flip,L1,D0,3,weighted,3,0.706828236579895,0.6571776487624603,0.7968458533287048,0.7507341800955778,0.038969438168383205
label_flip,L1,D0,3,weighted,4,0.7037986516952515,0.6588205914210092,0.7988055348396301,0.7562391425070818,0.056946001580758465
label_flip,L1,D0,3,mean,0,0.5968305468559265,0.39436761053776287,0.6578013896942139,0.42494757543062933,
label_flip,L1,D0,3,mean,1,0.39384758472442627,0.282561444574283,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,3,mean,2,0.6173385977745056,0.4662495439594898,0.6839305758476257,0.5205887237439982,
label_flip,L1,D0,3,mean,3,0.6014915108680725,0.37558207217671524,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,3,mean,4,0.39897459745407104,0.2851907379641472,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,3,median,0,0.6721044182777405,0.6591028781498243,0.8066442608833313,0.7933289359768676,
label_flip,L1,D0,3,median,1,0.706828236579895,0.6530789282229921,0.7930197715759277,0.7435118493456179,
label_flip,L1,D0,3,median,2,0.7070612907409668,0.6650296315156996,0.8027248978614807,0.7614375702693919,
label_flip,L1,D0,3,median,3,0.7089256644248962,0.6610969665934001,0.7972190976142883,0.7520678564072116,
label_flip,L1,D0,3,median,4,0.7033325433731079,0.6576141729963945,0.7987121939659119,0.7558720187621991,
label_flip,L1,D0,3,trimmed_mean,0,0.6644138693809509,0.6002618756189698,0.7924598455429077,0.7366246907053953,
label_flip,L1,D0,3,trimmed_mean,1,0.6730365753173828,0.5863886114997003,0.7543859481811523,0.6729212063811709,
label_flip,L1,D0,3,trimmed_mean,2,0.6786296963691711,0.6064176530184147,0.7614781856536865,0.6890424530147976,
label_flip,L1,D0,3,trimmed_mean,3,0.6739687919616699,0.5897706946603541,0.7540127038955688,0.6707846072595633,
label_flip,L1,D0,3,trimmed_mean,4,0.6909811496734619,0.6287353108826369,0.7878872752189636,0.7304392514072886,
label_flip,L1,D0,5,weighted,0,0.6236308813095093,0.5731230640674333,0.8062710165977478,0.7612352255918394,0.08051616342157336
label_flip,L1,D0,5,weighted,1,0.6343509554862976,0.582515514644736,0.7679171562194824,0.717392042718971,0.08534192539500755
label_flip,L1,D0,5,weighted,2,0.6385458111763,0.589139377216129,0.7890070676803589,0.7410141281899151,0.04223291445289697
label_flip,L1,D0,5,weighted,3,0.6469354629516602,0.5877388933399048,0.7870473861694336,0.7307509703300985,0.09204789776134654
label_flip,L1,D0,5,weighted,4,0.6429736614227295,0.5881961900977216,0.7988055348396301,0.7475109546318099,0.08276398826468953
