attack,level,dt_level,mal_nodes,method,polluted_acc_m,polluted_acc_s,polluted_f1_m,polluted_f1_s,clean_acc_m,clean_acc_s,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,count
label_flip,L1,D0,0,weighted,0.8005127072334289,0.006348088988790884,0.7603174388751585,0.009774187927828883,0.8025755882263184,0.006204820160061433,0.7600954797696896,0.009317724628828286,0.0,0.0,5
label_flip,L1,D0,0,mean,0.8004194855690002,0.006412105218900318,0.7601167722502737,0.009875192011679596,0.8024636149406433,0.006178880705103222,0.759817117085524,0.009216472723853605,nan,nan,5
label_flip,L1,D0,0,median,0.8013050556182861,0.005162065207739057,0.7618895620473138,0.008534889391497593,0.8037700653076172,0.00540230547019286,0.7620203809847566,0.0079516688029545,nan,nan,5
label_flip,L1,D0,0,trimmed_mean,0.8006059169769287,0.006651577448106136,0.7606469611659981,0.010385662874305718,0.8031354904174804,0.006506795395598516,0.7608079502046785,0.00982146222804736,nan,nan,5
label_flip,L1,D0,3,weighted,0.7004894018173218,0.009149412504627098,0.6523832592499652,0.009712917469723545,0.7989735007286072,0.007530844937618769,0.7540428029339145,0.011862534841042455,0.041090778455296975,0.02122166094925838,5
label_flip,L1,D0,3,mean,0.5216965675354004,0.10253369214526802,0.36079028184247963,0.06971790594217993,0.5383911848068237,0.15405252857118154,0.3716315344805244,0.10072207292132695,nan,nan,5
label_flip,L1,D0,3,median,0.6996504306793213,0.01389109397097611,0.6591845154956621,0.003938875135222497,0.799664044380188,0.004671667613633685,0.7612436461522576,0.017070263887516823,nan,nan,5
label_flip,L1,D0,3,trimmed_mean,0.6762060165405274,0.008698092309512857,0.6023148291360151,0.015033890751362014,0.7700447916984559,0.016711689416539683,0.6999624417536431,0.02819495350290422,nan,nan,5
label_flip,L1,D0,5,weighted,0.6372873544692993,0.008026524721084036,0.584142607873185,0.005973445905618451,0.7898096323013306,0.012957299549606968,0.7395806642925267,0.01486043587167444,0.0765805778591028,0.017603889201154986,5
label_flip,L1,D0,5,mean,0.48394314050674436,0.06926783779708945,0.3246757588414456,0.03093547049143971,0.4700447916984558,0.146749950955132,0.31317212382990506,0.06587902237425647,nan,nan,5
