0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
0.0164 0.017 0.0101 0.013 0.7748 2.1633 0.0504 0.0001 0.0235 143.7619 10.1532 146.0 0.0 1.8426 9.7407 192.0 133.0 144.1143 0.0278 0.0295 0.0031 0.0038 0.3435 1.2138 0.0648 0.0006 0.0402 439.2973 450.7046 256.0 94.8864 1.9993 5.3257 1594.0 192.0 625.0013 0.0103 0.0154 0.0016 0.0014 1.4622 3.7422 0.0504 0.0001 0.0184 253.11 307.4029 146.0 19.2738 3.7531 16.1259 1594.0 133.0 397.0092 1.0
0.2841 0.8289 0.0194 0.0286 3.4179 10.8715 3.9404 0.0001 0.8649 252.2857 95.6647 228.0 0.0 3.6472 11.6622 641.0 228.0 269.3294 0.153 0.5683 0.0021 0.0026 5.1223 28.8005 3.9435 0.0001 0.5843 1430.3077 514.807 1676.0 0.0 -1.7012 1.0889 1676.0 228.0 1518.792 0.0995 0.4595 0.0005 0.0006 6.5731 48.0059 3.9398 0.0001 0.4679 1018.0 702.4044 1676.0 0.0 -0.1693 -1.9404 1676.0 228.0 1234.8126 0.0
0.0166 0.0159 0.01 0.012 0.7164 2.0966 0.0507 0.0003 0.0229 143.3226 10.016 146.0 0.0 1.9183 10.4817 192.0 133.0 143.6665 0.0263 0.0298 0.003 0.0039 0.4509 1.2486 0.0652 0.0002 0.0395 452.4474 462.6043 302.0 163.086 1.9693 5.1963 1594.0 192.0 642.7128 0.0103 0.0145 0.0017 0.0016 1.3886 3.5466 0.0507 0.0001 0.0178 260.79 320.5987 146.0 19.2738 3.6463 15.297 1594.0 133.0 412.0281 1.0
0.0164 0.0165 0.0081 0.0104 0.6806 1.9821 0.0506 0.0004 0.0232 143.5902 9.8512 146.0 0.0 1.9913 11.1117 192.0 133.0 143.9222 0.0257 0.0297 0.003 0.0033 0.481 1.2582 0.0647 0.0006 0.039 432.1282 448.1105 265.0 108.2298 2.0652 5.5659 1594.0 192.0 618.3761 0.01 0.0148 0.0016 0.0013 1.4138 3.5519 0.0506 0.0 0.0178 256.12 311.6745 146.0 19.2738 3.7298 15.876 1594.0 133.0 402.2027 1.0
0.0175 0.017 0.0112 0.0132 0.6937 2.0211 0.0514 0.0009 0.0243 142.9016 9.8331 146.0 0.0 2.1326 11.769 192.0 133.0 143.234 0.0274 0.0298 0.0029 0.0035 0.3825 1.2047 0.0646 0.0006 0.0402 427.3333 416.1278 324.0 195.7032 2.2683 6.7287 1594.0 192.0 592.7361 0.0107 0.0154 0.0016 0.0013 1.4134 3.5848 0.0514 0.0002 0.0187 253.83 293.1992 146.0 19.2738 3.8967 17.8914 1594.0 133.0 386.6986 1.0
0.015 0.0168 0.0048 0.0068 0.9621 2.4593 0.0514 0.0 0.0224 144.2131 10.6209 146.0 0.0 1.5945 8.1847 192.0 133.0 144.5973 0.0239 0.0295 0.0031 0.0026 0.589 1.3567 0.0665 0.0005 0.0377 756.8974 609.8774 536.0 510.0144 0.3743 1.3827 1594.0 157.0 967.1127 0.0095 0.0149 0.0017 0.0018 1.6299 4.2566 0.0514 0.0 0.0176 383.16 482.7449 146.0 19.2738 1.8256 4.6312 1594.0 133.0 614.4297 1.0
0.0179 0.0174 0.0116 0.014 0.6917 2.0252 0.0508 0.0003 0.0249 142.7619 9.9882 146.0 0.0 2.0245 10.902 192.0 133.0 143.1054 0.0306 0.0311 0.003 0.0036 0.1619 1.0288 0.0654 0.0006 0.0433 418.027 408.6205 308.0 171.9816 2.2571 6.6694 1594.0 192.0 580.6932 0.0113 0.0161 0.0016 0.0013 1.3561 3.4089 0.0508 0.0001 0.0196 244.61 280.3921 146.0 19.2738 4.0159 18.8696 1594.0 133.0 371.0358 1.0
0.018 0.0175 0.0111 0.0132 0.6484 1.9113 0.0508 0.0003 0.025 142.5873 9.8302 146.0 0.0 2.1286 11.6986 192.0 133.0 142.9204 0.0307 0.03 0.0056 0.0083 0.1726 1.0902 0.0655 0.0023 0.0426 258.1351 71.7976 210.0 26.6868 0.3332 1.4067 378.0 192.0 267.6739 0.0114 0.016 0.0016 0.0014 1.3393 3.3117 0.0508 0.0003 0.0196 185.34 71.2647 146.0 19.2738 1.5038 3.8708 378.0 133.0 198.4409 1.0
0.0156 0.0166 0.0059 0.0081 0.7747 2.083 0.051 0.0 0.0227 144.1875 10.2924 146.0 0.0 1.6445 8.7714 192.0 133.0 144.5487 0.026 0.0304 0.0029 0.0032 0.455 1.2123 0.0647 0.0004 0.0397 475.9167 483.8759 268.5 113.4189 1.7168 4.2922 1594.0 192.0 673.8908 0.01 0.015 0.0016 0.0015 1.441 3.5998 0.051 0.0 0.018 263.61 329.322 146.0 19.2738 3.4577 13.8877 1594.0 133.0 420.5457 1.0
0.0313 0.0777 0.0029 0.0042 4.0306 16.8631 0.4149 0.0001 0.0826 977.8667 689.1287 981.5 1029.6657 -0.0417 -1.9742 1676.0 222.0 1189.6603 0.0135 0.0417 0.0029 0.004 5.147 27.081 0.277 0.0001 0.0436 270.7857 193.8001 228.0 0.0 5.8564 37.4132 1676.0 216.0 332.1849 0.0095 0.0244 0.0021 0.0029 6.073 45.2379 0.2118 0.0001 0.026 482.91 520.9046 228.0 0.0 1.7224 1.1389 1676.0 216.0 708.3998 0.0
