0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
0.0098 0.0898 0.0005 0.0 9.8468 97.976 0.8988 0.0003 0.0899 88.72 11.2879 86.0 0.0 3.6492 14.5162 133.0 76.0 89.4281 1.0
0.2488 1.4653 0.0019 0.0019 9.0635 84.4125 14.4157 0.0002 1.479 1029.22 564.1268 1448.0 0.0 -0.5982 -1.6414 1448.0 222.0 1172.327 0.0
0.0035 0.0042 0.0021 0.0027 4.0474 29.2078 0.0344 0.0 0.0055 112.7 38.2391 109.5 49.6671 0.2496 1.3332 165.0 76.0 118.9491 1.0
0.0007 0.0009 0.0005 0.0 6.0298 39.5225 0.0066 0.0004 0.0011 85.8 1.4071 86.0 0.0 -6.8571 48.0204 86.0 76.0 85.8114 1.0
0.0095 0.0898 0.0005 0.0 9.8493 98.0098 0.8988 0.0003 0.0899 87.58 11.1157 86.0 0.0 6.8571 48.0204 165.0 86.0 88.2756 1.0
0.0098 0.0931 0.0005 0.0 9.8493 98.0098 0.932 0.0002 0.0932 87.41 8.058 86.0 0.0 5.5104 31.3643 133.0 86.0 87.7769 1.0
0.0031 0.0046 0.0007 0.0008 4.0433 28.2246 0.0365 0.0 0.0056 96.8 27.3651 86.0 14.826 1.1939 2.5659 146.0 76.0 100.5565 1.0
0.0045 0.0032 0.004 0.0042 0.281 1.6709 0.0109 0.0001 0.0055 105.07 28.6378 133.0 0.0 -0.04 1.0016 133.0 76.0 108.8652 1.0
0.005 0.0033 0.005 0.0041 0.2341 2.5351 0.0156 0.0 0.006 104.5 28.6436 104.5 42.2541 0.0 1.0 133.0 76.0 108.3167 1.0
0.0051 0.0034 0.0046 0.0044 0.3499 2.3156 0.0142 0.0001 0.0061 105.78 30.5593 104.5 42.2541 0.1558 1.3311 165.0 76.0 110.0633 1.0
0.0046 0.0044 0.0039 0.0042 2.8511 18.5605 0.0333 0.0 0.0064 103.93 28.6378 76.0 0.0 0.04 1.0016 133.0 76.0 107.7653 1.0
0.005 0.0031 0.0047 0.0041 0.1473 2.0541 0.0129 0.0002 0.0059 112.72 39.7716 133.0 84.5082 0.6353 2.3166 192.0 76.0 119.4645 1.0
0.0048 0.0033 0.0044 0.0046 0.1561 1.7384 0.0127 0.0 0.0058 124.6 53.8618 76.0 0.0 0.3288 1.2524 192.0 76.0 135.6364 1.0
0.0046 0.003 0.0045 0.0037 0.3275 2.2759 0.0135 0.0 0.0055 110.3 35.9209 104.5 42.2541 0.2403 1.3486 162.0 76.0 115.9461 1.0
0.0046 0.0029 0.0046 0.0036 0.1193 1.7975 0.0103 0.0 0.0054 107.06 32.3106 104.5 42.2541 0.238 1.4577 165.0 76.0 111.7827 1.0
0.0006 0.0008 0.0005 0.0 9.6677 95.699 0.0081 0.0003 0.001 87.58 11.1157 86.0 0.0 6.8571 48.0204 165.0 86.0 88.2756 1.0
0.0008 0.0013 0.0005 0.0 6.4694 48.4499 0.0118 0.0004 0.0016 86.39 8.1809 86.0 0.0 8.9236 87.0895 165.0 76.0 86.7726 1.0
0.0007 0.0014 0.0005 0.0 9.6711 95.5984 0.0147 0.0004 0.0016 86.79 7.9 86.0 0.0 9.8494 98.0101 165.0 86.0 87.1452 1.0
0.0009 0.0014 0.0005 0.0 3.7626 17.0814 0.0089 0.0002 0.0017 87.95 10.5719 86.0 0.0 3.8633 16.8893 133.0 76.0 88.5768 1.0
0.0895 0.0959 0.0516 0.0763 0.594 1.9694 0.3283 0.0 0.1309 135.29 37.0264 154.0 18.5325 -0.5551 1.4162 175.0 76.0 140.2164 1.0
0.001 0.0022 0.0005 0.0 4.4416 22.3477 0.0133 0.0 0.0024 85.1 2.8762 86.0 0.0 -2.8653 9.21 86.0 76.0 85.1481 1.0
0.0772 0.1023 0.0077 0.0114 0.9862 2.4835 0.3098 0.0 0.1278 130.19 39.454 154.0 16.3086 -0.3966 1.2211 169.0 76.0 135.9797 1.0
0.0738 0.0985 0.0069 0.0102 0.9142 2.1372 0.2982 0.0 0.1227 115.88 37.9421 86.0 14.826 0.1924 1.1035 165.0 76.0 121.8744 1.0
0.096 0.0875 0.0725 0.1065 0.5744 2.1344 0.3098 0.0 0.1296 129.48 35.8897 154.0 16.3086 -0.3722 1.1879 165.0 86.0 134.314 1.0
0.005 0.0167 0.0005 0.0007 6.2024 41.7226 0.1173 0.0 0.0174 123.03 30.6263 133.0 19.2738 -0.6781 1.7127 165.0 76.0 126.7477 1.0
0.0047 0.0043 0.0044 0.0042 3.4019 24.6505 0.0348 0.0 0.0064 105.12 32.5338 76.0 0.0 0.2794 1.1456 146.0 76.0 109.9913 1.0
0.0052 0.0164 0.002 0.0024 6.4455 44.2792 0.1185 0.0 0.0171 116.4 33.7992 133.0 19.2738 -0.2228 1.3573 192.0 76.0 121.1607 1.0
0.0042 0.0132 0.0005 0.0008 7.3155 62.4937 0.1207 0.0 0.0138 130.22 27.4861 146.0 0.0 -1.3205 3.0481 165.0 76.0 133.0608 1.0
0.0038 0.0049 0.0021 0.0027 3.9857 28.0789 0.0394 0.0 0.0062 112.72 37.7499 86.0 14.826 0.1272 1.1137 158.0 76.0 118.8133 1.0
0.0049 0.0031 0.0046 0.0044 0.0556 2.009 0.0132 0.0 0.0058 103.36 28.6207 76.0 0.0 0.0801 1.0064 133.0 76.0 107.2112 1.0
0.0047 0.0028 0.0049 0.0035 -0.1284 1.8488 0.01 0.0 0.0054 109.3 35.0528 104.5 42.2541 0.2856 1.4659 165.0 76.0 114.7297 1.0
0.0045 0.0032 0.0044 0.0038 0.8075 4.4582 0.0177 0.0 0.0055 103.36 28.6207 76.0 0.0 0.0801 1.0064 133.0 76.0 107.2112 1.0
0.0052 0.0037 0.0055 0.0044 0.4159 2.7205 0.0156 0.0 0.0064 104.2 29.7749 76.0 0.0 0.1457 1.1392 154.0 76.0 108.3297 1.0
0.0056 0.0045 0.0045 0.0042 1.4025 5.7048 0.023 0.0 0.0072 107.38 31.529 133.0 31.1346 0.0885 1.205 154.0 76.0 111.8687 1.0
0.0043 0.0032 0.0035 0.0038 0.6271 3.0588 0.016 0.0 0.0054 103.93 28.6378 76.0 0.0 0.04 1.0016 133.0 76.0 107.7653 1.0
0.0075 0.0086 0.005 0.0046 2.8926 12.9713 0.054 0.0 0.0114 107.58 37.7022 76.0 0.0 0.7733 2.5087 192.0 76.0 113.9329 1.0
0.0048 0.0035 0.0042 0.0041 0.6775 3.4389 0.0168 0.0 0.0059 109.23 34.2321 133.0 47.4432 0.2448 1.4685 165.0 76.0 114.4173 1.0
0.0045 0.0035 0.0036 0.0039 0.5447 2.2824 0.0145 0.0 0.0057 103.36 28.6207 76.0 0.0 0.0801 1.0064 133.0 76.0 107.2112 1.0
0.0005 0.0002 0.0005 0.0 3.6473 25.7958 0.0017 0.0002 0.0006 86.94 6.6131 86.0 0.0 6.8571 48.0204 133.0 86.0 87.1886 1.0
0.0005 0.0001 0.0005 0.0 -0.5555 17.5054 0.001 0.0002 0.0005 85.8 1.4071 86.0 0.0 -6.8571 48.0204 86.0 76.0 85.8114 1.0
0.0479 0.0737 0.0023 0.0031 1.5943 1.6022 0.3014 0.0002 0.0876 635.69 596.4499 250.5 42.2541 0.972 -0.9464 1676.0 222.0 869.6532 0.0
0.0152 0.0335 0.0014 0.0017 3.1669 11.1794 0.2034 0.0001 0.0367 1091.46 514.344 1476.0 0.0 -0.7936 -1.1306 1608.0 222.0 1205.483 0.0
0.0037 0.0101 0.0003 0.0001 4.4269 22.3467 0.0708 0.0001 0.0107 1139.83 545.5908 1476.0 0.0 -0.9977 -0.9922 1476.0 222.0 1262.4995 0.0
0.0008 0.001 0.0005 0.0001 4.6385 27.177 0.0079 0.0001 0.0012 1596.48 276.6864 1676.0 0.0 -3.2666 9.2673 1676.0 352.0 1620.0427 0.0
0.0015 0.0028 0.0008 0.0003 4.7882 23.8046 0.0192 0.0004 0.0032 1484.12 256.8812 1596.0 0.0 -2.0741 2.6426 1596.0 720.0 1505.9682 0.0
0.014 0.0579 0.001 0.0004 5.2545 29.4766 0.4254 0.0002 0.0593 1298.08 381.398 1448.0 0.0 -2.1412 2.6435 1448.0 320.0 1352.4132 0.0
0.0023 0.0032 0.0009 0.0008 2.5518 7.2965 0.0169 0.0002 0.0039 1581.57 333.8751 1676.0 0.0 -3.3581 9.8256 1676.0 222.0 1616.0822 0.0
0.0014 0.0022 0.0005 0.0002 3.5923 15.0293 0.0133 0.0001 0.0026 1617.96 285.7698 1676.0 0.0 -4.6246 19.5836 1676.0 222.0 1642.7545 0.0
0.0556 0.2199 0.0002 0.0002 3.9707 14.1854 1.0488 0.0001 0.2258 794.37 667.8629 260.0 56.3388 0.4598 -1.775 1646.0 222.0 1035.666 0.0
0.1313 0.9168 0.0005 0.0006 8.9172 81.9531 8.9294 0.0001 0.9216 349.84 290.567 224.0 2.9652 3.5391 12.8874 1646.0 222.0 453.8424 0.0
0.6079 1.4607 0.0121 0.0177 3.6858 15.9128 9.6556 0.0001 1.5754 565.74 525.3503 259.0 54.8562 1.2516 -0.214 1596.0 222.0 770.2563 0.0
0.0033 0.0107 0.0004 0.0001 4.0226 16.8328 0.0686 0.0001 0.0112 1303.78 391.9265 1476.0 0.0 -2.1751 3.0848 1476.0 222.0 1360.85 0.0
0.0012 0.0012 0.0003 0.0 0.7956 -1.0886 0.0037 0.0003 0.0017 1654.56 105.5633 1676.0 0.0 -4.6246 19.5831 1676.0 1140.0 1657.8905 0.0
0.1953 0.6541 0.0034 0.0046 5.1071 29.8307 4.9804 0.0001 0.6795 848.49 620.9229 470.0 367.6848 0.2579 -1.8484 1596.0 222.0 1049.5833 0.0
0.007 0.0226 0.0013 0.0 3.7893 12.8498 0.1095 0.0003 0.0236 1266.88 415.3585 1448.0 0.0 -1.8266 1.3512 1448.0 320.0 1332.5849 0.0
0.031 0.0671 0.0021 0.0001 3.0973 11.2931 0.4107 0.0006 0.0736 1500.24 342.6199 1596.0 0.0 -3.3149 9.1779 1596.0 222.0 1538.4845 0.0
0.0127 0.0204 0.0066 0.0046 2.9288 8.6046 0.1125 0.0002 0.024 440.45 182.6432 372.0 115.6428 2.0493 5.8378 1365.0 222.0 476.4674 0.0
0.3621 1.3937 0.0006 0.0006 6.3218 46.4173 11.9567 0.0001 1.4332 1055.56 562.5985 1476.0 0.0 -0.6274 -1.5413 1476.0 222.0 1194.8049 0.0
8.6434 55.9763 0.0017 0.0023 7.4703 59.7978 503.4926 0.0001 56.3624 262.8 54.1032 228.0 0.0 1.3379 0.8922 422.0 204.0 268.2568 0.0
0.0138 0.06 0.0005 0.0003 7.5456 63.6347 0.5547 0.0002 0.0612 1628.76 228.9157 1676.0 0.0 -5.1061 25.9021 1676.0 228.0 1644.6086 0.0
0.0065 0.0372 0.001 0.0001 6.6627 43.2658 0.2723 0.0002 0.0375 1154.08 496.911 1448.0 0.0 -1.0777 -0.8464 1448.0 320.0 1255.5286 0.0
0.0161 0.0356 0.0017 0.0022 4.7746 29.885 0.2827 0.0001 0.0389 1194.98 535.5857 1493.0 271.3158 -0.5165 -1.3036 1676.0 222.0 1308.4192 0.0
0.0012 0.001 0.0008 0.0002 2.4939 7.1727 0.006 0.0 0.0016 1489.62 345.3023 1596.0 0.0 -3.2883 8.9855 1596.0 222.0 1528.7279 0.0
