Aggregation Algorithm,Total Nodes,Malicious Nodes,Acc,Prec,Rec,F1,Total time
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,4.8865
Reputation-Based Aggregation,3,0,0.9742,0.9561,0.9964,0.9758,6.3185
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,5.3983
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,5.9214
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,4.3204
Reputation-Based Aggregation,3,0,0.9742,0.9561,0.9964,0.9758,6.0387
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,5.8358
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,5.408
Reputation-Based Aggregation,3,0,0.8017,0.775,0.8752,0.8221,5.8821
Reputation-Based Aggregation,3,0,0.7091,0.7208,0.7253,0.723,6.0081
Reputation-Based Aggregation,3,0,0.711,0.7218,0.7289,0.7253,5.5327
Reputation-Based Aggregation,3,0,0.9746,0.9561,0.9973,0.9763,5.3409
Reputation-Based Aggregation,3,0,0.9756,0.9601,0.9946,0.9771,5.9189
Reputation-Based Aggregation,3,0,0.9756,0.9601,0.9946,0.9771,5.3602
Reputation-Based Aggregation,3,0,0.9756,0.9601,0.9946,0.9771,4.6765
Reputation-Based Aggregation,3,0,0.976,0.961,0.9946,0.9775,6.1378
Reputation-Based Aggregation,3,0,0.765,0.7529,0.8205,0.7852,5.0931
Reputation-Based Aggregation,3,0,0.9727,0.9536,0.9964,0.9745,7.9531
Reputation-Based Aggregation,3,0,0.9887,0.9823,0.9964,0.9893,8.5012
Fed-MAE Aggregation,3,0,0.9967,0.9973,0.9964,0.9969,6.4555
Fed-MAE Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,5.5425
Reputation-Based Aggregation,3,0,0.9192,0.868,0.9973,0.9282,6.0826
Reputation-Based Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,6.054
Reputation-Based Aggregation,3,0,0.9168,0.8831,0.9695,0.9243,4.8041
Reputation-Based Aggregation,3,0,0.9774,0.9611,0.9973,0.9789,5.8895
Reputation-Based Aggregation,3,0,0.9774,0.9611,0.9973,0.9789,6.222
Reputation-Based Aggregation,3,0,0.9774,0.9611,0.9973,0.9789,4.8677
Reputation-Based Aggregation,3,0,0.9774,0.9611,0.9973,0.9789,4.9964
Reputation-Based Aggregation,3,0,0.9789,0.9628,0.9982,0.9802,5.4762
Reputation-Based Aggregation,3,0,0.9793,0.9636,0.9982,0.9806,4.7306
Reputation-Based Aggregation,3,0,0.9812,0.9678,0.9973,0.9823,5.0642
Reputation-Based Aggregation,3,0,0.9803,0.9661,0.9973,0.9814,4.6429
Reputation-Based Aggregation,3,0,0.9812,0.9678,0.9973,0.9823,4.7487
Reputation-Based Aggregation,5,0,0.9784,0.9635,0.9964,0.9797,12.8306
Fed-MAE Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,7.3441
Fed-MAE Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,4.9006
Fed-MAE Aggregation,5,0,0.9836,0.9737,0.9955,0.9845,4.1762
Fed-MAE Aggregation,5,0,0.9789,0.9636,0.9973,0.9801,4.1936
Fed-MAE Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,4.3256
Fed-MAE Aggregation,5,0,0.9789,0.9644,0.9964,0.9801,4.2898
Fed-MAE Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,4.6968
Fed-MAE Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,4.7181
Fed-MAE Aggregation,5,0,0.9817,0.9703,0.9955,0.9827,4.6403
Fed-MAE Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,4.8076
Reputation-Based Aggregation,5,0,0.9789,0.9644,0.9964,0.9801,4.5565
Reputation-Based Aggregation,5,0,0.9821,0.9711,0.9955,0.9832,5.068
Reputation-Based Aggregation,5,0,0.9798,0.9661,0.9964,0.981,5.2674
Reputation-Based Aggregation,5,0,0.9798,0.9661,0.9964,0.981,4.787
Reputation-Based Aggregation,5,0,0.9812,0.9678,0.9973,0.9823,4.7602
Reputation-Based Aggregation,5,0,0.9845,0.9754,0.9955,0.9853,4.8325
Reputation-Based Aggregation,5,0,0.9798,0.9661,0.9964,0.981,5.4248
Reputation-Based Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,5.4006
Reputation-Based Aggregation,5,0,0.9793,0.9652,0.9964,0.9806,4.7498
Fed-MAE Aggregation,5,0,0.5132,0.5196,0.9264,0.6658,4.821
Unknown,5,0,0.9803,0.9661,0.9973,0.9814,4.6843
median_aggregation,5,0,0.9807,0.9686,0.9955,0.9819,4.8233
median_aggregation,5,0,0.9793,0.9644,0.9973,0.9806,4.8342
trimmed_mean_aggregation,5,0,0.632,0.6474,0.6526,0.65,4.4789
